brand_name,generic_name,total_manufacturers,manufacturer,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,outlier_flag,year
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Bluepoint Labor,714395.37,85413.0,4441.0,1941.0,8.480812874,160.86362756,368.05531685,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Auromedics-Eugi,1168305.73,293379.102,6626.0,2683.0,4.0528874379,176.32142016,435.44753261,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Athenex Pharmac,2374.02,293.0,28.0,13.0,8.2040414388,84.786428571,182.61692308,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Armas Pharmaceu,485267.22,60073.0,2286.0,1238.0,8.676226985,212.27787402,391.97675283,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App/Fresenius K,11031.03,107.775,46.0,27.0,102.35240084,239.805,408.55666667,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App-Premierpro,2182.76,53.362,16.0,11.0,61.722535046,136.4225,198.43272727,1,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apotex Corp,3759551.01,2719183.245,18477.0,6823.0,1.3748356134,203.47193863,551.01143339,0,2023
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apollo/Provepha,72113.84,18716.245,613.0,248.0,4.7764964167,117.64084829,290.7816129,1,2023
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",2,Overall,577732.99,1516466.67,2283.0,843.0,0.3978220718,253.05869032,685.32976275,0,2023
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Pfizer/Baxter,318099.33,819116.67,1227.0,485.0,0.4028918603,259.2496577,655.87490722,0,2023
Zosyn,"Piperacillin-Tazo-Dextrose,Iso",1,Baxter Healthca,259633.66,697350.0,1056.0,406.0,0.3919313231,245.86520833,639.4917734,0,2023
